datetime,P
25/4/2018 14:03,1.1507154
25/4/2018 14:06,1.2175142
25/4/2018 14:09,1.1115931
25/4/2018 14:12,1.112303
25/4/2018 14:15,1.1349695
25/4/2018 14:18,0.99203974
25/4/2018 14:21,0.7821662
25/4/2018 14:24,0.7835683
25/4/2018 14:27,0.78096414
25/4/2018 14:30,0.80806583
25/4/2018 14:33,0.80614394
25/4/2018 14:36,0.75121665
25/4/2018 14:39,0.7446444
25/4/2018 14:42,0.766174
25/4/2018 14:45,0.8029316
25/4/2018 14:48,0.7259269
25/4/2018 14:51,0.62571496
25/4/2018 14:54,0.56788903
25/4/2018 14:57,0.61399585
25/4/2018 15:00,0.69963354
25/4/2018 15:03,0.84553117
25/4/2018 15:06,0.8394658
25/4/2018 15:09,0.6702784
25/4/2018 15:12,0.77480465
25/4/2018 15:15,0.7939839
25/4/2018 15:18,0.76675737
25/4/2018 15:21,0.68259555
25/4/2018 15:24,0.55986947
25/4/2018 15:27,0.5898066
25/4/2018 15:30,0.5530316
25/4/2018 15:33,0.3467122
25/4/2018 15:36,0.25526616
25/4/2018 15:39,0.24826793
25/4/2018 15:42,0.21298768
25/4/2018 15:45,0.2692856
25/4/2018 15:48,0.17834859
25/4/2018 15:51,0.20237245
25/4/2018 15:54,0.20828752
25/4/2018 15:57,0.083738126
25/4/2018 16:00,0.066899635
25/4/2018 16:03,0.085818805
25/4/2018 16:06,0.08404676
25/4/2018 16:09,-0.012874147
25/4/2018 16:12,-0.15577699
25/4/2018 16:15,-0.25694832
25/4/2018 16:18,-0.4454596
25/4/2018 16:21,-0.49364498
25/4/2018 16:24,-0.40518472
25/4/2018 16:27,-0.2568783
25/4/2018 16:30,-0.4624996
25/4/2018 16:33,-0.5908713
25/4/2018 16:36,-0.6306192
25/4/2018 16:39,-0.64689606
25/4/2018 16:42,-0.69070077
25/4/2018 16:45,-0.7070266
25/4/2018 16:48,-0.7365569
25/4/2018 16:51,-0.73473746
25/4/2018 16:54,-0.7436945
25/4/2018 16:57,-0.7543622
